Id,Accidents,Body_type,Year,Fuel_economy_combined,Days_on_market,Rating,Distance,Color,Drivetrain,Engine,Make,Mileage,Model,Transmission,Additional_features,Previous_owners,Price_drops,Photos,Seats,Seller_type,Trim,Price
270979936,0,SUV / Crossover,2015,27 MPG,56,FAIR_PRICE,113.744354,BLUE,ALL_WHEEL_DRIVE,I4,Mazda,119532,CX-5,6-Speed Automatic,5,1,,True,5,DEALER,Grand Touring AWD,11995.0
273622826,0,SUV / Crossover,2017,26 MPG,11,FAIR_PRICE,36.752354,RED,ALL_WHEEL_DRIVE,I4,Mazda,27851,CX-5,6-Speed Automatic,4,1,,True,5,DEALER,Touring AWD,20477.0
273121964,0,SUV / Crossover,2015,27 MPG,18,FAIR_PRICE,8.318452,BLUE,ALL_WHEEL_DRIVE,I4,Mazda,130571,CX-5,6-Speed Automatic,7,1,,True,5,DEALER,Grand Touring AWD,10570.0
247458800,0,SUV / Crossover,2016,24 MPG,330,FAIR_PRICE,175.91122,WHITE,ALL_WHEEL_DRIVE,I4,Mazda,28033,CX-9,6-Speed Automatic,6,1,,True,7,DEALER,Touring AWD,22995.0
273090611,0,SUV / Crossover,2016,27 MPG,19,FAIR_PRICE,177.86685,BLUE,ALL_WHEEL_DRIVE,I4,Mazda,35058,CX-5,6-Speed Automatic,5,1,,True,5,DEALER,Touring AWD,17062.0
273805320,0,SUV / Crossover,2013,28 MPG,9,FAIR_PRICE,125.035484,BLUE,ALL_WHEEL_DRIVE,I4,Mazda,76228,CX-5,6-Speed Automatic,4,3,,True,5,DEALER,Touring AWD,12498.0
272597291,0,SUV / Crossover,2014,27 MPG,27,FAIR_PRICE,159.04663,GRAY,,I4,Mazda,102756,CX-5,Automatic,5,1,,True,5,DEALER,Touring AWD,11385.0
273972950,1,SUV / Crossover,2018,23 MPG,8,FAIR_PRICE,121.87466,SILVER,ALL_WHEEL_DRIVE,I4,Mazda,26003,CX-9,6-Speed Automatic,8,1,,True,7,DEALER,Touring AWD,26115.0
273549962,0,SUV / Crossover,2016,29 MPG,13,FAIR_PRICE,103.79691,WHITE,ALL_WHEEL_DRIVE,I4,Mazda,13748,CX-3,Automatic,6,1,,True,5,DEALER,Grand Touring AWD,17863.0
272302725,0,SUV / Crossover,2016,24 MPG,31,FAIR_PRICE,124.40274,BLACK,ALL_WHEEL_DRIVE,I4,Mazda,18663,CX-9,6-Speed Automatic,4,1,,True,7,DEALER,Sport AWD,20697.0
